date;song;artist;idk;link
October 5, 2024 at 03:53PM;I'm Counting on You;Elvis Presley;6ngIWHdwkmHZe8zFP7lIJq;https://open.spotify.com/track/6ngIWHdwkmHZe8zFP7lIJq
October 5, 2024 at 03:55PM;I Got a Woman;Elvis Presley;2aAYLg4QVTOBVsP72lAyzE;https://open.spotify.com/track/2aAYLg4QVTOBVsP72lAyzE
October 5, 2024 at 03:57PM;One-Sided Love Affair;Elvis Presley;7noWm4lKCBIiQThaIX5oEK;https://open.spotify.com/track/7noWm4lKCBIiQThaIX5oEK
October 5, 2024 at 04:00PM;I Love You Because;Elvis Presley;5AvKhhpwm0bsuuwOz9NI0Q;https://open.spotify.com/track/5AvKhhpwm0bsuuwOz9NI0Q
October 5, 2024 at 04:03PM;Just Because;Elvis Presley;5l4AZGLQCZJKEXcKzmJthD;https://open.spotify.com/track/5l4AZGLQCZJKEXcKzmJthD
October 5, 2024 at 04:05PM;Tutti Frutti;Elvis Presley;6ePcDDP1t0GHmIQSBd7FwY;https://open.spotify.com/track/6ePcDDP1t0GHmIQSBd7FwY
October 5, 2024 at 04:08PM;Trying to Get to You;Elvis Presley;4zQLZPcTl8hJC5pJtooT3h;https://open.spotify.com/track/4zQLZPcTl8hJC5pJtooT3h
October 5, 2024 at 04:10PM;I'm Gonna Sit Right Down and Cry (Over You);Elvis Presley;6XPQEn0Bq7Jiz2vNBpVZDZ;https://open.spotify.com/track/6XPQEn0Bq7Jiz2vNBpVZDZ
October 5, 2024 at 04:12PM;I'll Never Let You Go (Little Darlin');Elvis Presley;3FvDkGpOf2weAQL9ynmZTb;https://open.spotify.com/track/3FvDkGpOf2weAQL9ynmZTb
October 5, 2024 at 04:15PM;Blue Moon - Take 9/M;Elvis Presley;6VqCe4PcokSekHPJQaDx0B;https://open.spotify.com/track/6VqCe4PcokSekHPJQaDx0B
October 5, 2024 at 04:17PM;Money Honey;Elvis Presley;0pwDaXboNy1UALAl3ZOZOF;https://open.spotify.com/track/0pwDaXboNy1UALAl3ZOZOF
October 5, 2024 at 04:19PM;Don't Be Cruel;Elvis Presley;1MUsWVRPLaC7ANKcEiMRCl;https://open.spotify.com/track/1MUsWVRPLaC7ANKcEiMRCl
October 5, 2024 at 04:20PM;Fast Freight;Ritchie Valens;1RyfeZbewsZt9VnPZc3w4X;https://open.spotify.com/track/1RyfeZbewsZt9VnPZc3w4X
October 5, 2024 at 06:21PM;Pretender - Acoustic;AJR;1pOfdz4qES3baC4hvuqEG8;https://open.spotify.com/track/1pOfdz4qES3baC4hvuqEG8
October 5, 2024 at 06:25PM;Way Less Sad;AJR;1UDhFEt0NlOFKwWRQJTgHe;https://open.spotify.com/track/1UDhFEt0NlOFKwWRQJTgHe
October 5, 2024 at 06:28PM;Too Late (with AJR);Quinn XCII;3KE6KppohrzZMbo2ao7CZ2;https://open.spotify.com/track/3KE6KppohrzZMbo2ao7CZ2
October 5, 2024 at 06:31PM;Blu;Jon Bellion;4FUDWkguOUVpLRAVn5C20z;https://open.spotify.com/track/4FUDWkguOUVpLRAVn5C20z
October 5, 2024 at 06:34PM;Underground;Cody Fry;6bU3RDOTuXynFSx3xWSdKq;https://open.spotify.com/track/6bU3RDOTuXynFSx3xWSdKq
October 5, 2024 at 06:37PM;Fine By Me;Andy Grammer;00V8KJuZ0a089fa25Lc9t7;https://open.spotify.com/track/00V8KJuZ0a089fa25Lc9t7
October 5, 2024 at 06:40PM;Inertia;AJR;2IA1ctUxjk865QW3CpIuZk;https://open.spotify.com/track/2IA1ctUxjk865QW3CpIuZk
October 5, 2024 at 06:44PM;All My Favorite Songs (feat. AJR);Weezer;3A6nR4GSolo160nu7xtDk7;https://open.spotify.com/track/3A6nR4GSolo160nu7xtDk7
October 5, 2024 at 06:47PM;Bummerland;AJR;11CuPgsnoErQX18rH4gXLM;https://open.spotify.com/track/11CuPgsnoErQX18rH4gXLM
October 5, 2024 at 06:50PM;Good Things Fall Apart (with Jon Bellion);ILLENIUM;3LxG9HkMMFP0MZuiw3O2rF;https://open.spotify.com/track/3LxG9HkMMFP0MZuiw3O2rF
October 6, 2024 at 12:17PM;Record Player;Daisy the Great;7Gk8IPlFTLUcoIH3mtASI0;https://open.spotify.com/track/7Gk8IPlFTLUcoIH3mtASI0
October 6, 2024 at 12:27PM;Ain't No Sunshine;Bill Withers;1k1Bqnv2R0uJXQN4u6LKYt;https://open.spotify.com/track/1k1Bqnv2R0uJXQN4u6LKYt
October 6, 2024 at 12:31PM;Lovely Day;Bill Withers;0bRXwKfigvpKZUurwqAlEh;https://open.spotify.com/track/0bRXwKfigvpKZUurwqAlEh
October 6, 2024 at 12:34PM;Jolene;Dolly Parton;5fdhThPDe6jQQDqCyWrdAn;https://open.spotify.com/track/5fdhThPDe6jQQDqCyWrdAn
October 6, 2024 at 12:38PM;50 Ways to Leave Your Lover;Paul Simon;6Qb7gtV6Q4MnUjSbkFcopl;https://open.spotify.com/track/6Qb7gtV6Q4MnUjSbkFcopl
October 6, 2024 at 12:41PM;Green Onions;Booker T. & the M.G.'s;4fQMGlCawbTkH9yPPZ49kP;https://open.spotify.com/track/4fQMGlCawbTkH9yPPZ49kP
October 6, 2024 at 12:45PM;Time in a Bottle;Jim Croce;7uWFUpGuEfmxYeymkV95jn;https://open.spotify.com/track/7uWFUpGuEfmxYeymkV95jn
October 6, 2024 at 12:49PM;Use Me;Bill Withers;4gRA0i5sxx3jAhHaVjPnUN;https://open.spotify.com/track/4gRA0i5sxx3jAhHaVjPnUN
October 6, 2024 at 12:53PM;Till Forever Falls Apart;Ashe;2769RhOZs0ezRncRW1vryp;https://open.spotify.com/track/2769RhOZs0ezRncRW1vryp
October 6, 2024 at 12:56PM;Another Man's Jeans;Ashe;1WnUPxIwo0IqzwbEwNvz38;https://open.spotify.com/track/1WnUPxIwo0IqzwbEwNvz38
October 6, 2024 at 12:58PM;Cloud 9;Beach Bunny;3ZgkHyoKfNMcHTXC0X1qQj;https://open.spotify.com/track/3ZgkHyoKfNMcHTXC0X1qQj
October 6, 2024 at 01:02PM;Stick Season;Noah Kahan;0mflMxspEfB0VbI1kyLiAv;https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv
October 6, 2024 at 01:04PM;July;Noah Cyrus;6J2LdBN97cDWn0MLxYh9HB;https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
October 6, 2024 at 01:09PM;Save Myself;Ashe;3MBdq6U779PbN8WSfsRZAx;https://open.spotify.com/track/3MBdq6U779PbN8WSfsRZAx
October 6, 2024 at 01:12PM;Someone New;Hozier;2DNXgvkyv35vTWvdgjs7qn;https://open.spotify.com/track/2DNXgvkyv35vTWvdgjs7qn
October 6, 2024 at 01:39PM;Evergreen (You Didn’t Deserve Me At All);Omar Apollo;2TktkzfozZifbQhXjT6I33;https://open.spotify.com/track/2TktkzfozZifbQhXjT6I33
October 7, 2024 at 01:41PM;All My Love;Noah Kahan;7ByxizhA4GgEf7Sxomxhze;https://open.spotify.com/track/7ByxizhA4GgEf7Sxomxhze
October 7, 2024 at 01:44PM;Not How It's Supposed To Go;Ashe;11kCND5jgGIYgRaEIpfi5E;https://open.spotify.com/track/11kCND5jgGIYgRaEIpfi5E
October 7, 2024 at 01:46PM;i am not who i was;Chance Peña;70eyG7pqKozUvKPKXLXmpI;https://open.spotify.com/track/70eyG7pqKozUvKPKXLXmpI
October 7, 2024 at 01:50PM;Work Song;Hozier;5TgEJ62DOzBpGxZ7WRsrqb;https://open.spotify.com/track/5TgEJ62DOzBpGxZ7WRsrqb
October 7, 2024 at 04:36PM;Not Strong Enough;boygenius;09DR0sHnQUhHOiSNttc1mv;https://open.spotify.com/track/09DR0sHnQUhHOiSNttc1mv
October 7, 2024 at 04:42PM;As the World Caves In;Sarah Cothran;2xXNLutYAOELYVObYb1C1S;https://open.spotify.com/track/2xXNLutYAOELYVObYb1C1S
October 7, 2024 at 04:46PM;"What Was I Made For? [From The Motion Picture ""Barbie""]";Billie Eilish;6wf7Yu7cxBSPrRlWeSeK0Q;https://open.spotify.com/track/6wf7Yu7cxBSPrRlWeSeK0Q
October 7, 2024 at 04:51PM;Cool About It;boygenius;5PJH1U5Iie893v48Fl9yaC;https://open.spotify.com/track/5PJH1U5Iie893v48Fl9yaC
October 7, 2024 at 05:20PM;Not Strong Enough;boygenius;09DR0sHnQUhHOiSNttc1mv;https://open.spotify.com/track/09DR0sHnQUhHOiSNttc1mv
October 7, 2024 at 05:24PM;Till Forever Falls Apart;Ashe;2769RhOZs0ezRncRW1vryp;https://open.spotify.com/track/2769RhOZs0ezRncRW1vryp
October 7, 2024 at 05:27PM;Another Man's Jeans;Ashe;1WnUPxIwo0IqzwbEwNvz38;https://open.spotify.com/track/1WnUPxIwo0IqzwbEwNvz38
October 7, 2024 at 05:29PM;Slow It Down;Benson Boone;51eSHglvG1RJXtL3qI5trr;https://open.spotify.com/track/51eSHglvG1RJXtL3qI5trr
October 7, 2024 at 05:32PM;July;Noah Cyrus;6J2LdBN97cDWn0MLxYh9HB;https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
October 7, 2024 at 05:34PM;Cloud 9;Beach Bunny;3ZgkHyoKfNMcHTXC0X1qQj;https://open.spotify.com/track/3ZgkHyoKfNMcHTXC0X1qQj
October 7, 2024 at 05:37PM;Stick Season;Noah Kahan;0mflMxspEfB0VbI1kyLiAv;https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv
October 7, 2024 at 05:41PM;Save Myself;Ashe;3MBdq6U779PbN8WSfsRZAx;https://open.spotify.com/track/3MBdq6U779PbN8WSfsRZAx
